drugName	score	gene_name	expert	Entrez
BUTABARBITAL SODIUM	0.06	GABRB2	yes	2561
ETOMIDATE	0.21	GABRB2	yes	2561
METHARBITAL	0.05	GABRB2	yes	2561
REMIMAZOLAM	0.05	GABRB2	yes	2561
QUAZEPAM	0.05	GABRB2	yes	2561
SEVOFLURANE	0.03	GABRB2	yes	2561
FLUDIAZEPAM	0.16	GABRB2	yes	2561
CLONAZEPAM	0.12	GABRB2	yes	2561
METHYPRYLON	0.06	GABRB2	yes	2561
SECOBARBITAL SODIUM	0.06	GABRB2	yes	2561
PRIMIDONE	0.03	GABRB2	yes	2561
PAGOCLONE	0.3	GABRB2	yes	2561
DESFLURANE	0.03	GABRB2	yes	2561
GLUTETHIMIDE	0.05	GABRB2	yes	2561
ISOFLURANE	0.03	GABRB2	yes	2561
CLORAZEPIC ACID	0.09	GABRB2	yes	2561
PROPOFOL	0.13	GABRB2	yes	2561
PENTOBARBITAL SODIUM	0.06	GABRB2	yes	2561
CLORAZEPATE DIPOTASSIUM	0.06	GABRB2	yes	2561
CHLORDIAZEPOXIDE HYDROCHLORIDE	0.06	GABRB2	yes	2561
MIDAZOLAM	0.1	GABRB2	yes	2561
DIAZEPAM	0.15	GABRB2	yes	2561
MEPROBAMATE	0.05	GABRB2	yes	2561
METHOXYFLURANE	0.04	GABRB2	yes	2561
NITRAZEPAM	0.17	GABRB2	yes	2561
CLOTIAZEPAM	0.16	GABRB2	yes	2561
PRAZEPAM	0.17	GABRB2	yes	2561
BROMAZEPAM	0.13	GABRB2	yes	2561
ADIPIPLON	0.05	GABRB2	yes	2561
PF-06372865	0.06	GABRB2	yes	2561
TOPIRAMATE	0.02	GABRB2	yes	2561
ACAMPROSATE CALCIUM	0.04	GABRB2	yes	2561
FLUMAZENIL	0.05	GABRB2	yes	2561
TALBUTAL	0.05	GABRB2	yes	2561
MIDAZOLAM HYDROCHLORIDE	0.05	GABRB2	yes	2561
TRIAZOLAM	0.15	GABRB2	yes	2561
CINOLAZEPAM	0.16	GABRB2	yes	2561
CHLORDIAZEPOXIDE	0.13	GABRB2	yes	2561
OXAZEPAM	0.18	GABRB2	yes	2561
FOSPROPOFOL	0.68	GABRB2	yes	2561
METHOHEXITAL SODIUM	0.06	GABRB2	yes	2561
HALAZEPAM	0.23	GABRB2	yes	2561
ETHCHLORVYNOL	0.11	GABRB2	yes	2561
CLOBAZAM	0.13	GABRB2	yes	2561
ADINAZOLAM	0.21	GABRB2	yes	2561
ESZOPICLONE	0.05	GABRB2	yes	2561
ESTAZOLAM	0.2	GABRB2	yes	2561
ETAZOLATE	0.06	GABRB2	yes	2561
LORAZEPAM	0.12	GABRB2	yes	2561
PENTOBARBITAL	0.05	GABRB2	yes	2561
ALPRAZOLAM	0.09	GABRB2	yes	2561
GABOXADOL	0.11	GABRB2	yes	2561
TRICLOFOS SODIUM	0.06	GABRB2	yes	2561
FLURAZEPAM	0.17	GABRB2	yes	2561
THIOPENTAL SODIUM	0.05	GABRB2	yes	2561
BUTALBITAL	0.05	GABRB2	yes	2561
OCINAPLON	0.05	GABRB2	yes	2561
HALOTHANE	0.03	GABRB2	yes	2561
ENFLURANE	0.03	GABRB2	yes	2561
TEMAZEPAM	0.21	GABRB2	yes	2561
ERLOTINIB	0.02	MAPK1	yes	5594
MK-8353	0.26	MAPK1	yes	5594
ULIXERTINIB	0.4	MAPK1	yes	5594
RAVOXERTINIB	0.79	MAPK1	yes	5594
CASOPITANT	3.54	TACR1	yes	6869
VOFOPITANT	2.66	TACR1	yes	6869
VAPREOTIDE	1.33	TACR1	yes	6869
APREPITANT	7.09	TACR1	yes	6869
VESTIPITANT	8.86	TACR1	yes	6869
PRUCALOPRIDE	3.09	HTR4	yes	3360
CISAPRIDE	6.17	HTR4	yes	3360
CISAPRIDE	2.06	HTR4	yes	3360
REVEXEPRIDE	4.12	HTR4	yes	3360
CAPESEROD	0.46	HTR4	yes	3360
VELUSETRAG	3.09	HTR4	yes	3360
ZOLMITRIPTAN	0.34	HTR4	yes	3360
NARONAPRIDE	2.06	HTR4	yes	3360
TEGASEROD MALEATE	0.34	HTR4	yes	3360
METOCLOPRAMIDE HYDROCHLORIDE	0.69	HTR4	yes	3360
LGH-447	1.25	PIM3	yes	415116
VADIMEZAN	0.75	PIM3	yes	415116
AZD-1208	1.25	PIM3	yes	415116
SGI-1776	1.61	PIM3	yes	415116
THYROTROPIN ALFA	1.4	TSHR	yes	7253
THYROTROPIN	0.28	TSHR	yes	7253
PROBUCOL	47.84	ABCA1	yes	19
PRS-211375	4.4	CNR2	yes	1269
SAD448	1.1	CNR2	yes	1269
DRONABINOL	0.82	CNR2	yes	1269
GW842166X	2.2	CNR2	yes	1269
NONABINE	1.1	CNR2	yes	1269
LY2828360	4.4	CNR2	yes	1269
TEDALINAB	4.4	CNR2	yes	1269
NABILONE	9.9	CNR2	yes	1269
NAPHAZOLINE HYDROCHLORIDE	0.13	ADRA2C	yes	152
PHENOXYBENZAMINE HYDROCHLORIDE	0.09	ADRA2C	yes	152
OXYMETAZOLINE HYDROCHLORIDE	0.11	ADRA2C	yes	152
EPINEPHRINE	0.08	ADRA2C	yes	152
EPINEPHRINE BITARTRATE	0.05	ADRA2C	yes	152
TETRAHYDROZOLINE HYDROCHLORIDE	0.13	ADRA2C	yes	152
ESMIRTAZAPINE MALEATE	0.13	ADRA2C	yes	152
APRACLONIDINE HYDROCHLORIDE	0.26	ADRA2C	yes	152
FIPAMEZOLE	0.26	ADRA2C	yes	152
SENREBOTASE	0.13	ADRA2C	yes	152
ERGOLOID MESYLATES	0.06	ADRA2C	yes	152
FADOLMIDINE HYDROCHLORIDE	0.26	ADRA2C	yes	152
ALSEROXYLON	0.13	ADRA2C	yes	152
BETHANIDINE	0.19	ADRA2C	yes	152
ILOPERIDONE	0.05	ADRA2C	yes	152
YOHIMBINE	0.55	ADRA2C	yes	152
BRIMONIDINE TARTRATE	0.26	ADRA2C	yes	152
PHENTOLAMINE MESYLATE	0.1	ADRA2C	yes	152
TIZANIDINE	0.38	ADRA2C	yes	152
LABETALOL HYDROCHLORIDE	0.09	ADRA2C	yes	152
DROXIDOPA	0.38	ADRA2C	yes	152
METHAMPHETAMINE	0.09	ADRA2C	yes	152
METHYLDOPA	0.03	ADRA2C	yes	152
RAUWOLFIA SERPENTINA	0.15	ADRA2C	yes	152
GUANFACINE HYDROCHLORIDE	0.19	ADRA2C	yes	152
TIZANIDINE HYDROCHLORIDE	0.26	ADRA2C	yes	152
DEXMEDETOMIDINE HYDROCHLORIDE	0.26	ADRA2C	yes	152
MIRTAZAPINE	0.16	ADRA2C	yes	152
DEBRISOQUIN	0.26	ADRA2C	yes	152
DIPIVEFRIN HYDROCHLORIDE	0.1	ADRA2C	yes	152
OLANZAPINE	0.02	ADRA2C	yes	152
TOLAZOLINE HYDROCHLORIDE	0.1	ADRA2C	yes	152
NOREPINEPHRINE	0.33	ADRA2C	yes	152
LOFEXIDINE	0.58	ADRA2C	yes	152
ASENAPINE	0.08	ADRA2C	yes	152
CLONIDINE HYDROCHLORIDE	0.26	ADRA2C	yes	152
LURASIDONE	0.38	ADRA2C	yes	152
FENOLDOPAM	0.34	ADRA2C	yes	152
BRIMONIDINE	0.68	ADRA2C	yes	152
METHYLDOPATE HYDROCHLORIDE	0.26	ADRA2C	yes	152
NOREPINEPHRINE BITARTRATE	0.05	ADRA2C	yes	152
MEPHENTERMINE SULFATE	0.1	ADRA2C	yes	152
LEVONORDEFRIN	0.06	ADRA2C	yes	152
HYDROXYAMPHETAMINE HYDROBROMIDE	0.09	ADRA2C	yes	152
CLONIDINE	0.46	ADRA2C	yes	152
GUANABENZ ACETATE	0.19	ADRA2C	yes	152
AMISELIMOD HYDROCHLORIDE	1.82	S1PR3	yes	1903
FINGOLIMOD HYDROCHLORIDE	1.82	S1PR3	yes	1903
DANTROLENE SODIUM	1.33	RYR1	yes	6261
DANTROLENE	5.76	RYR1	yes	6261
SOTALOL	0.13	KCNH2	yes	3757
BUDIODARONE	0.05	KCNH2	yes	3757
SERTINDOLE	0.08	KCNH2	yes	3757
PROPAFENONE	0.12	KCNH2	yes	3757
DRONEDARONE	0.09	KCNH2	yes	3757
AMIODARONE	0.08	KCNH2	yes	3757
IBUTILIDE	0.34	KCNH2	yes	3757
DOFETILIDE	0.23	KCNH2	yes	3757
COLTUXIMAB RAVTANSINE	14.72	CD19	yes	930
ONCOLYSIN B	4.91	CD19	yes	930
TAPLITUMOMAB PAPTOX	4.91	CD19	yes	930
MDX-1342	9.81	CD19	yes	930
BLINATUMOMAB	3.51	CD19	yes	930
INEBILIZUMAB	29.44	CD19	yes	930
LY-2090314	0.14	GSK3B	yes	2932
AT-9283	0.09	GSK3B	yes	2932
LITHIUM CARBONATE	0.41	GSK3B	yes	2932
TIDEGLUSIB	3.07	GSK3B	yes	2932
AZD-1080	0.14	GSK3B	yes	2932
LITHIUM CITRATE	0.41	GSK3B	yes	2932
THIAMYLAL SODIUM	0.06	GABRB1	yes	2560
BUTABARBITAL SODIUM	0.06	GABRB1	yes	2560
ETOMIDATE	0.18	GABRB1	yes	2560
METHARBITAL	0.05	GABRB1	yes	2560
REMIMAZOLAM	0.06	GABRB1	yes	2560
QUAZEPAM	0.25	GABRB1	yes	2560
SEVOFLURANE	0.03	GABRB1	yes	2560
FLUDIAZEPAM	0.18	GABRB1	yes	2560
CLONAZEPAM	0.13	GABRB1	yes	2560
METHYPRYLON	0.06	GABRB1	yes	2560
SECOBARBITAL SODIUM	0.06	GABRB1	yes	2560
PRIMIDONE	0.03	GABRB1	yes	2560
DESFLURANE	0.03	GABRB1	yes	2560
GLUTETHIMIDE	0.06	GABRB1	yes	2560
ISOFLURANE	0.03	GABRB1	yes	2560
CLORAZEPIC ACID	0.1	GABRB1	yes	2560
PROPOFOL	0.03	GABRB1	yes	2560
PENTOBARBITAL SODIUM	0.06	GABRB1	yes	2560
CLORAZEPATE DIPOTASSIUM	0.06	GABRB1	yes	2560
CHLORDIAZEPOXIDE HYDROCHLORIDE	0.06	GABRB1	yes	2560
MIDAZOLAM	0.11	GABRB1	yes	2560
DIAZEPAM	0.17	GABRB1	yes	2560
MEPROBAMATE	0.06	GABRB1	yes	2560
METHOXYFLURANE	0.05	GABRB1	yes	2560
NITRAZEPAM	0.19	GABRB1	yes	2560
CLOTIAZEPAM	0.18	GABRB1	yes	2560
PRAZEPAM	0.18	GABRB1	yes	2560
BROMAZEPAM	0.14	GABRB1	yes	2560
ZOLPIDEM TARTRATE	0.33	GABRB1	yes	2560
ADIPIPLON	0.05	GABRB1	yes	2560
PF-06372865	0.06	GABRB1	yes	2560
TOPIRAMATE	0.02	GABRB1	yes	2560
ACAMPROSATE CALCIUM	0.04	GABRB1	yes	2560
FLUMAZENIL	0.05	GABRB1	yes	2560
TALBUTAL	0.05	GABRB1	yes	2560
MIDAZOLAM HYDROCHLORIDE	0.06	GABRB1	yes	2560
TRIAZOLAM	0.17	GABRB1	yes	2560
CINOLAZEPAM	0.18	GABRB1	yes	2560
CHLORDIAZEPOXIDE	0.14	GABRB1	yes	2560
OXAZEPAM	0.19	GABRB1	yes	2560
METHOHEXITAL SODIUM	0.06	GABRB1	yes	2560
HALAZEPAM	0.25	GABRB1	yes	2560
ETHCHLORVYNOL	0.06	GABRB1	yes	2560
CLOBAZAM	0.14	GABRB1	yes	2560
ADINAZOLAM	0.23	GABRB1	yes	2560
ESZOPICLONE	0.06	GABRB1	yes	2560
ESTAZOLAM	0.22	GABRB1	yes	2560
ETAZOLATE	0.06	GABRB1	yes	2560
LORAZEPAM	0.13	GABRB1	yes	2560
PENTOBARBITAL	0.05	GABRB1	yes	2560
ALPRAZOLAM	0.1	GABRB1	yes	2560
GABOXADOL	0.12	GABRB1	yes	2560
TRICLOFOS SODIUM	0.06	GABRB1	yes	2560
FLURAZEPAM	0.19	GABRB1	yes	2560
ZALEPLON	0.25	GABRB1	yes	2560
THIOPENTAL SODIUM	0.06	GABRB1	yes	2560
BUTALBITAL	0.05	GABRB1	yes	2560
OCINAPLON	0.06	GABRB1	yes	2560
HALOTHANE	0.03	GABRB1	yes	2560
ENFLURANE	0.03	GABRB1	yes	2560
TEMAZEPAM	0.23	GABRB1	yes	2560
ANISTREPLASE	7.7	PLG	yes	5340
DESMOTEPLASE	8.8	PLG	yes	5340
AMEDIPLASE	1.1	PLG	yes	5340
ALTEPLASE	1.16	PLG	yes	5340
TRANEXAMIC ACID	2.2	PLG	yes	5340
FIBRINOLYSIN, HUMAN	0.55	PLG	yes	5340
TENECTEPLASE	8.8	PLG	yes	5340
RETEPLASE	8.8	PLG	yes	5340
UROKINASE	3.3	PLG	yes	5340
DEFIBROTIDE SODIUM	2.2	PLG	yes	5340
STREPTOKINASE	22	PLG	yes	5340
APROTININ	2.2	PLG	yes	5340
AMINOCAPROIC ACID	1.1	PLG	yes	5340
VIXOTRIGINE	1.88	SCN9A	yes	6335
NKTR-171	0.09	SCN9A	yes	6335
ETHOTOIN	0.09	SCN9A	yes	6335
ARTICAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
ESLICARBAZEPINE ACETATE	0.09	SCN9A	yes	6335
PROPAFENONE HYDROCHLORIDE	0.07	SCN9A	yes	6335
PHENYTOIN SODIUM	0.09	SCN9A	yes	6335
MEPIVACAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
FOSPHENYTOIN SODIUM	0.09	SCN9A	yes	6335
ROPIVACAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
PRILOCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
PF-05089771	1.88	SCN9A	yes	6335
RANOLAZINE	0.4	SCN9A	yes	6335
DSP-2230	0.94	SCN9A	yes	6335
QUINIDINE GLUCONATE	0.09	SCN9A	yes	6335
DRONEDARONE HYDROCHLORIDE	0.06	SCN9A	yes	6335
PRIMIDONE	0.03	SCN9A	yes	6335
TETRACAINE	0.09	SCN9A	yes	6335
TETRACAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
PROPARACAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
ORPHENADRINE HYDROCHLORIDE	0.05	SCN9A	yes	6335
DISOPYRAMIDE PHOSPHATE	0.09	SCN9A	yes	6335
IRAMPANEL	0.07	SCN9A	yes	6335
QUINIDINE SULFATE	0.09	SCN9A	yes	6335
CHLOROPROCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
TOCAINIDE HYDROCHLORIDE	0.09	SCN9A	yes	6335
AZD3161	0.94	SCN9A	yes	6335
TOPIRAMATE	0.02	SCN9A	yes	6335
PHENYTOIN	0.02	SCN9A	yes	6335
DYCLONINE HYDROCHLORIDE	0.06	SCN9A	yes	6335
EVENAMIDE	0.09	SCN9A	yes	6335
SAFINAMIDE	0.06	SCN9A	yes	6335
RILUZOLE	0.04	SCN9A	yes	6335
PHENACEMIDE	0.09	SCN9A	yes	6335
ETIDOCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
MERETHOXYLLINE PROCAINE	0.09	SCN9A	yes	6335
OXCARBAZEPINE	0.05	SCN9A	yes	6335
QUINIDINE POLYGALACTURONATE	0.09	SCN9A	yes	6335
RG6029	0.94	SCN9A	yes	6335
NERISPIRDINE	0.02	SCN9A	yes	6335
ORPHENADRINE CITRATE	0.04	SCN9A	yes	6335
ESLICARBAZEPINE	0.09	SCN9A	yes	6335
ERLOSAMIDE	0.16	SCN9A	yes	6335
MORICIZINE HYDROCHLORIDE	0.08	SCN9A	yes	6335
ZONISAMIDE	0.37	SCN9A	yes	6335
MEXILETINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
BENOXINATE HYDROCHLORIDE	0.09	SCN9A	yes	6335
INDECAINIDE HYDROCHLORIDE	0.09	SCN9A	yes	6335
RUFINAMIDE	0.17	SCN9A	yes	6335
TETRODOTOXIN	0.21	SCN9A	yes	6335
PRILOCAINE	0.09	SCN9A	yes	6335
PROPOXYCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
PROCAINAMIDE HYDROCHLORIDE	0.09	SCN9A	yes	6335
MEPHENYTOIN	0.08	SCN9A	yes	6335
HEXYLCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
LIDOCAINE	0.35	SCN9A	yes	6335
PHENAZOPYRIDINE HYDROCHLORIDE	0.06	SCN9A	yes	6335
LAMOTRIGINE	0.04	SCN9A	yes	6335
RALFINAMIDE	0.05	SCN9A	yes	6335
XEN403	0.94	SCN9A	yes	6335
PROCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
LIDOCAINE HYDROCHLORIDE	0.09	SCN9A	yes	6335
RG7893	1.88	SCN9A	yes	6335
CARBAMAZEPINE	0.02	SCN9A	yes	6335
VANDETANIB	0.3	EPHB4	yes	2050
JI-101	5.32	EPHB4	yes	2050
TG100-801	1	EPHB4	yes	2050
TESEVATINIB	13.67	EPHB4	yes	2050
BUTORPHANOL TARTRATE	0.26	OPRM1	yes	4988
PROPOXYPHENE HYDROCHLORIDE	0.51	OPRM1	yes	4988
NALOXONE	0.89	OPRM1	yes	4988
CODEINE PHOSPHATE	0.17	OPRM1	yes	4988
CODEINE POLISTIREX	0.17	OPRM1	yes	4988
LEVALLORPHAN TARTRATE	0.26	OPRM1	yes	4988
ANILERIDINE PHOSPHATE	0.26	OPRM1	yes	4988
METHADONE HYDROCHLORIDE	0.51	OPRM1	yes	4988
PENTAZOCINE	1.2	OPRM1	yes	4988
METHYLNALTREXONE	0.51	OPRM1	yes	4988
DEZOCINE	2.32	OPRM1	yes	4988
DIHYDROCODEINE BITARTRATE	0.51	OPRM1	yes	4988
LEVORPHANOL TARTRATE	0.51	OPRM1	yes	4988
NALTALIMIDE	0.51	OPRM1	yes	4988
TRAMADOL HYDROCHLORIDE	0.51	OPRM1	yes	4988
CEBRANOPADOL	0.26	OPRM1	yes	4988
ALVIMOPAN	1.71	OPRM1	yes	4988
DIPHENOXYLATE HYDROCHLORIDE	0.17	OPRM1	yes	4988
BENZHYDROCODONE HYDROCHLORIDE	0.17	OPRM1	yes	4988
ELUXADOLINE	1.03	OPRM1	yes	4988
NALBUPHINE	1.11	OPRM1	yes	4988
OLICERIDINE	0.51	OPRM1	yes	4988
CODEINE SULFATE	0.17	OPRM1	yes	4988
NALMEFENE HYDROCHLORIDE	0.17	OPRM1	yes	4988
NALDEMEDINE	0.51	OPRM1	yes	4988
LEVORPHANOL	1.29	OPRM1	yes	4988
ANILERIDINE	2.57	OPRM1	yes	4988
HYDROMORPHONE HYDROCHLORIDE	0.51	OPRM1	yes	4988
AXELOPRAN	1.03	OPRM1	yes	4988
REMIFENTANIL	0.93	OPRM1	yes	4988
NALTREXONE	1.35	OPRM1	yes	4988
LOPERAMIDE	0.46	OPRM1	yes	4988
PROPOXYPHENE	1.16	OPRM1	yes	4988
ALFENTANIL HYDROCHLORIDE	1.03	OPRM1	yes	4988
FENTANYL	0.22	OPRM1	yes	4988
AXOMADOL	0.17	OPRM1	yes	4988
MEPERIDINE HYDROCHLORIDE	0.51	OPRM1	yes	4988
NALBUPHINE HYDROCHLORIDE	0.17	OPRM1	yes	4988
DIFENOXIN HYDROCHLORIDE	0.51	OPRM1	yes	4988
BUPRENORPHINE HYDROCHLORIDE	0.17	OPRM1	yes	4988
LEVALLORPHAN	2.06	OPRM1	yes	4988
SUFENTANIL	0.88	OPRM1	yes	4988
BUTORPHANOL	0.88	OPRM1	yes	4988
FENTANYL CITRATE	0.51	OPRM1	yes	4988
NALOXEGOL OXALATE	0.51	OPRM1	yes	4988
OXYCODEGOL	0.51	OPRM1	yes	4988
FAXELADOL	0.17	OPRM1	yes	4988
BUPRENORPHINE	0.62	OPRM1	yes	4988
FENTANYL HYDROCHLORIDE	0.51	OPRM1	yes	4988
ANILERIDINE HYDROCHLORIDE	0.26	OPRM1	yes	4988
METHYLNALTREXONE BROMIDE	0.51	OPRM1	yes	4988
MORPHINE	0.2	OPRM1	yes	4988
NALDEMEDINE TOSYLATE	0.51	OPRM1	yes	4988
HYDROCODONE POLISTIREX	0.17	OPRM1	yes	4988
HYDROCODONE	1.34	OPRM1	yes	4988
NALTREXONE HYDROCHLORIDE	0.17	OPRM1	yes	4988
HYDROMORPHONE	0.72	OPRM1	yes	4988
OXYCODONE HYDROCHLORIDE	0.51	OPRM1	yes	4988
OXYMORPHONE HYDROCHLORIDE	0.17	OPRM1	yes	4988
LOPERAMIDE HYDROCHLORIDE	0.17	OPRM1	yes	4988
ALFENTANIL	4.63	OPRM1	yes	4988
NALOXONE HYDROCHLORIDE	0.13	OPRM1	yes	4988
SUFENTANIL CITRATE	0.13	OPRM1	yes	4988
CODEINE	0.58	OPRM1	yes	4988
TAPENTADOL	0.41	OPRM1	yes	4988
MORPHINE SULFATE	0.51	OPRM1	yes	4988
HYDROCODONE BITARTRATE	0.17	OPRM1	yes	4988
DIPHENOXYLATE	3.6	OPRM1	yes	4988
OXYMORPHONE	1.03	OPRM1	yes	4988
TRAMADOL	0.43	OPRM1	yes	4988
BEVENOPRAN	1.03	OPRM1	yes	4988
NALMEFENE	0.34	OPRM1	yes	4988
REMIFENTANIL HYDROCHLORIDE	0.51	OPRM1	yes	4988
OXYCODONE	0.57	OPRM1	yes	4988
METHYLSAMIDORPHAN	0.51	OPRM1	yes	4988
LEVOMETHADYL ACETATE HYDROCHLORIDE	0.51	OPRM1	yes	4988
TAPENTADOL HYDROCHLORIDE	0.26	OPRM1	yes	4988
SAMIDORPHAN	0.34	OPRM1	yes	4988
METHADONE	0.18	OPRM1	yes	4988
ODELEPRAN	0.17	OPRM1	yes	4988
FRAKEFAMIDE	0.51	OPRM1	yes	4988
SELUMETINIB	1.96	GNAQ	yes	2776
PLX-4720	0.98	GNAQ	yes	2776
VISILIZUMAB	1.64	CD3G	yes	917
SOLITOMAB	1.23	CD3G	yes	917
BLINATUMOMAB	1.4	CD3G	yes	917
OTELIXIZUMAB	1.64	CD3G	yes	917
MUROMONAB-CD3	4.91	CD3G	yes	917
FORALUMAB	3.27	CD3G	yes	917
CATUMAXOMAB	1.23	CD3G	yes	917
AMINOPHYLLINE	0.58	PDE3B	yes	5140
THEOPHYLLINE	0.24	PDE3B	yes	5140
OXTRIPHYLLINE	0.58	PDE3B	yes	5140
DIPYRIDAMOLE	0.11	PDE3B	yes	5140
PENTOXIFYLLINE	0.17	PDE3B	yes	5140
THEOPHYLLINE SODIUM GLYCINATE	0.58	PDE3B	yes	5140
ANAGRELIDE HYDROCHLORIDE	2.9	PDE3B	yes	5140
CALCITONIN HUMAN	7.09	CALCR	yes	799
SMC021	7.09	CALCR	yes	799
CALCITONIN SALMON RECOMBINANT	7.09	CALCR	yes	799
PRAMLINTIDE	9.45	CALCR	yes	799
PRAMLINTIDE ACETATE	1.77	CALCR	yes	799
DAVALINTIDE	4.73	CALCR	yes	799
CALCITONIN	2.36	CALCR	yes	799
DANUSERTIB	4.64	AURKC	yes	6795
ILORASERTIB	0.17	AURKC	yes	6795
CENISERTIB	0.05	AURKC	yes	6795
MK-6592	1.93	AURKC	yes	6795
TTP-607	1.93	AURKC	yes	6795
SNS-314	0.69	AURKC	yes	6795
TOZASERTIB	0.33	AURKC	yes	6795
GSK-1070916	9.67	AURKC	yes	6795
AMG-900	5.8	AURKC	yes	6795
CYC-116	0.06	AURKC	yes	6795
GLUCAGON	7.44	GCGR	yes	2642
PF-06291874	10.63	GCGR	yes	2642
GLUCAGON HYDROCHLORIDE RECOMBINANT	5.32	GCGR	yes	2642
MK-0893	7.09	GCGR	yes	2642
GLUCAGON HYDROCHLORIDE	5.32	GCGR	yes	2642
SAR425899	3.54	GCGR	yes	2642
TERAZOSIN	0.68	ADRA1D	yes	146
EPINEPHRINE	0.27	ADRA1D	yes	146
LEVOMEPROMAZINE	0.39	ADRA1D	yes	146
SENREBOTASE	0.23	ADRA1D	yes	146
DAPIPRAZOLE	2.38	ADRA1D	yes	146
PERICIAZINE	0.54	ADRA1D	yes	146
BETHANIDINE	0.34	ADRA1D	yes	146
DOXAZOSIN	2.71	ADRA1D	yes	146
SERTINDOLE	0.21	ADRA1D	yes	146
PROPIOMAZINE	0.39	ADRA1D	yes	146
DEBRISOQUIN	0.45	ADRA1D	yes	146
PHENYLEPHRINE	0.19	ADRA1D	yes	146
PRAZOSIN	0.68	ADRA1D	yes	146
TAMSULOSIN	2.26	ADRA1D	yes	146
NOREPINEPHRINE	0.59	ADRA1D	yes	146
PROMAZINE	0.3	ADRA1D	yes	146
ALFUZOSIN	2.71	ADRA1D	yes	146
HEXOBARBITAL	0.26	GABRA4	yes	2557
THIAMYLAL SODIUM	0.05	GABRA4	yes	2557
BUTABARBITAL SODIUM	0.05	GABRA4	yes	2557
ETOMIDATE	0.15	GABRA4	yes	2557
METHARBITAL	0.17	GABRA4	yes	2557
REMIMAZOLAM	0.05	GABRA4	yes	2557
QUAZEPAM	0.04	GABRA4	yes	2557
SEVOFLURANE	0.03	GABRA4	yes	2557
GANAXOLONE	0.1	GABRA4	yes	2557
CLONAZEPAM	0.11	GABRA4	yes	2557
METHYPRYLON	0.05	GABRA4	yes	2557
SECOBARBITAL SODIUM	0.05	GABRA4	yes	2557
PRIMIDONE	0.11	GABRA4	yes	2557
DESFLURANE	0.03	GABRA4	yes	2557
GLUTETHIMIDE	0.05	GABRA4	yes	2557
ISOFLURANE	0.03	GABRA4	yes	2557
CLORAZEPIC ACID	0.09	GABRA4	yes	2557
PROPOFOL	0.03	GABRA4	yes	2557
PENTOBARBITAL SODIUM	0.05	GABRA4	yes	2557
CLORAZEPATE DIPOTASSIUM	0.05	GABRA4	yes	2557
CHLORDIAZEPOXIDE HYDROCHLORIDE	0.05	GABRA4	yes	2557
MEPHOBARBITAL	0.29	GABRA4	yes	2557
MIDAZOLAM	0.09	GABRA4	yes	2557
DIAZEPAM	0.03	GABRA4	yes	2557
MEPROBAMATE	0.24	GABRA4	yes	2557
METHOXYFLURANE	0.04	GABRA4	yes	2557
NITRAZEPAM	0.17	GABRA4	yes	2557
PRAZEPAM	0.04	GABRA4	yes	2557
BROMAZEPAM	0.12	GABRA4	yes	2557
ADIPIPLON	0.09	GABRA4	yes	2557
PF-06372865	0.05	GABRA4	yes	2557
TOPIRAMATE	0.02	GABRA4	yes	2557
ACAMPROSATE CALCIUM	0.04	GABRA4	yes	2557
RESEQUINIL	0.1	GABRA4	yes	2557
FLUMAZENIL	0.05	GABRA4	yes	2557
TALBUTAL	0.17	GABRA4	yes	2557
MIDAZOLAM HYDROCHLORIDE	0.05	GABRA4	yes	2557
TRIAZOLAM	0.15	GABRA4	yes	2557
CHLORDIAZEPOXIDE	0.12	GABRA4	yes	2557
THIOPENTAL	0.24	GABRA4	yes	2557
OXAZEPAM	0.17	GABRA4	yes	2557
METHOHEXITAL SODIUM	0.05	GABRA4	yes	2557
FLUNITRAZEPAM	0.68	GABRA4	yes	2557
HALAZEPAM	0.04	GABRA4	yes	2557
ETHCHLORVYNOL	0.05	GABRA4	yes	2557
LOREDIPLON	0.1	GABRA4	yes	2557
CLOBAZAM	0.12	GABRA4	yes	2557
ESZOPICLONE	0.05	GABRA4	yes	2557
ESTAZOLAM	0.04	GABRA4	yes	2557
BUTABARBITAL	0.17	GABRA4	yes	2557
LORAZEPAM	0.11	GABRA4	yes	2557
PHENOBARBITAL	0.05	GABRA4	yes	2557
BUTETHAL	0.26	GABRA4	yes	2557
SECOBARBITAL	0.26	GABRA4	yes	2557
PENTOBARBITAL	0.17	GABRA4	yes	2557
ALPRAZOLAM	0.09	GABRA4	yes	2557
GABOXADOL	0.16	GABRA4	yes	2557
TRICLOFOS SODIUM	0.05	GABRA4	yes	2557
FLURAZEPAM	0.17	GABRA4	yes	2557
THIOPENTAL SODIUM	0.05	GABRA4	yes	2557
