id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
4671,buprenorphine,quinidine,2,Significant,BUPRENORPHINE/QUINIDINE [VA Drug Interaction],C56^7134^
4672,buprenorphine,disopyramide,2,Significant,BUPRENORPHINE/DISOPYRAMIDE [VA Drug Interaction],C56^7135^
4673,buprenorphine,dofetilide,2,Significant,BUPRENORPHINE/DOFETILIDE [VA Drug Interaction],C56^7136^
4674,buprenorphine,procainamide,2,Significant,BUPRENORPHINE/PROCAINAMIDE [VA Drug Interaction],C56^7139^
4675,buprenorphine,sotalol,2,Significant,BUPRENORPHINE/SOTALOL [VA Drug Interaction],C56^7140^
4676,buspirone,rasagiline,2,Significant,BUSPIRONE/RASAGILINE [VA Drug Interaction],C56^7141^
4677,adenosine,carbamazepine,2,Significant,ADENOSINE/CARBAMAZEPINE [VA Drug Interaction],C56^7142^
4678,eplerenone,potassium iodide,2,Significant,EPLERENONE/POTASSIUM IODIDE [VA Drug Interaction],C56^7143^
4679,bosutinib,amprenavir,2,Significant,AMPRENAVIR/BOSUTINIB [VA Drug Interaction],C56^7144^
4680,bosutinib,aprepitant,2,Significant,APREPITANT/BOSUTINIB [VA Drug Interaction],C56^7145^
4681,bosutinib,atazanavir,2,Significant,ATAZANAVIR/BOSUTINIB [VA Drug Interaction],C56^7146^
4682,bosutinib,boceprevir,2,Significant,BOCEPREVIR/BOSUTINIB [VA Drug Interaction],C56^7147^
4683,bosutinib,ciprofloxacin,2,Significant,BOSUTINIB/CIPROFLOXACIN [VA Drug Interaction],C56^7148^
4684,bosutinib,clarithromycin,2,Significant,BOSUTINIB/CLARITHROMYCIN [VA Drug Interaction],C56^7149^
4685,bosutinib,conivaptan,2,Significant,BOSUTINIB/CONIVAPTAN [VA Drug Interaction],C56^7150^
4686,bosutinib,crizotinib,2,Significant,BOSUTINIB/CRIZOTINIB [VA Drug Interaction],C56^7151^
4687,bosutinib,darunavir,2,Significant,BOSUTINIB/DARUNAVIR [VA Drug Interaction],C56^7153^
4688,bosutinib,diltiazem,2,Significant,BOSUTINIB/DILTIAZEM [VA Drug Interaction],C56^7154^
4689,bosutinib,enalapril,2,Significant,BOSUTINIB/ENALAPRIL [VA Drug Interaction],C56^7155^
4690,bosutinib,erythromycin,2,Significant,BOSUTINIB/ERYTHROMYCIN [VA Drug Interaction],C56^7156^
4691,bosutinib,fluconazole,2,Significant,BOSUTINIB/FLUCONAZOLE [VA Drug Interaction],C56^7157^
4692,bosutinib,fosamprenavir,2,Significant,BOSUTINIB/FOSAMPRENAVIR [VA Drug Interaction],C56^7158^
4693,bosutinib,fosaprepitant,2,Significant,BOSUTINIB/FOSAPREPITANT [VA Drug Interaction],C56^7159^
4694,bosutinib,imatinib,2,Significant,BOSUTINIB/IMATINIB [VA Drug Interaction],C56^7160^
4695,bosutinib,itraconazole,2,Significant,BOSUTINIB/ITRACONAZOLE [VA Drug Interaction],C56^7162^
4696,bosutinib,ketoconazole,2,Significant,BOSUTINIB/KETOCONAZOLE [VA Drug Interaction],C56^7163^
4697,bosutinib,ritonavir,2,Significant,BOSUTINIB/RITONAVIR [VA Drug Interaction],C56^7164^
4698,bosutinib,nefazodone,2,Significant,BOSUTINIB/NEFAZODONE [VA Drug Interaction],C56^7166^
4699,bosutinib,posaconazole,2,Significant,BOSUTINIB/POSACONAZOLE [VA Drug Interaction],C56^7168^
4700,bosutinib,quinidine,2,Significant,BOSUTINIB/QUINIDINE [VA Drug Interaction],C56^7169^
4701,bosutinib,saquinavir,2,Significant,BOSUTINIB/SAQUINAVIR [VA Drug Interaction],C56^7170^
4702,bosutinib,telaprevir,2,Significant,BOSUTINIB/TELAPREVIR [VA Drug Interaction],C56^7171^
4703,bosutinib,telithromycin,2,Significant,BOSUTINIB/TELITHROMYCIN [VA Drug Interaction],C56^7172^
4704,bosutinib,verapamil,2,Significant,BOSUTINIB/VERAPAMIL [VA Drug Interaction],C56^7173^
4705,bosutinib,voriconazole,2,Significant,BOSUTINIB/VORICONAZOLE [VA Drug Interaction],C56^7174^
4706,bosutinib,cimetidine,2,Significant,BOSUTINIB/CIMETIDINE [VA Drug Interaction],C56^7175^
4707,bosutinib,famotidine,2,Significant,BOSUTINIB/FAMOTIDINE [VA Drug Interaction],C56^7176^
4708,bosutinib,nizatidine,2,Significant,BOSUTINIB/NIZATIDINE [VA Drug Interaction],C56^7177^
4709,bosutinib,ranitidine,2,Significant,BOSUTINIB/RANITIDINE [VA Drug Interaction],C56^7178^
4710,bosutinib,dexlansoprazole,2,Critical,BOSUTINIB/DEXLANSOPRAZOLE [VA Drug Interaction],C56^7179^
4711,bosutinib,lansoprazole,2,Significant,BOSUTINIB/LANSOPRAZOLE [VA Drug Interaction],C56^7180^
4712,bosutinib,omeprazole,2,Critical,BOSUTINIB/OMEPRAZOLE [VA Drug Interaction],C56^7181^
4713,bosutinib,pantoprazole,2,Critical,BOSUTINIB/PANTOPRAZOLE [VA Drug Interaction],C56^7182^
4714,bosutinib,esomeprazole,2,Critical,BOSUTINIB/ESOMEPRAZOLE [VA Drug Interaction],C56^7183^
4715,bosutinib,carbamazepine,2,Significant,BOSUTINIB/CARBAMAZEPINE [VA Drug Interaction],C56^7186^
4716,bosutinib,dexamethasone,2,Significant,BOSUTINIB/DEXAMETHASONE [VA Drug Interaction],C56^7187^
4717,bosutinib,phenobarbital,2,Significant,BOSUTINIB/PHENOBARBITAL [VA Drug Interaction],C56^7189^
4718,bosutinib,phenytoin,2,Significant,BOSUTINIB/PHENYTOIN [VA Drug Interaction],C56^7190^
4719,bosutinib,primidone,2,Significant,BOSUTINIB/PRIMIDONE [VA Drug Interaction],C56^7191^
4720,bosutinib,rifabutin,2,Significant,BOSUTINIB/RIFABUTIN [VA Drug Interaction],C56^7192^
4721,ivacaftor,carbamazepine,2,Significant,CARBAMAZEPINE/IVACAFTOR [VA Drug Interaction],C56^7226^
4722,ivacaftor,enzalutamide,2,Significant,ENZALUTAMIDE/IVACAFTOR [VA Drug Interaction],C56^7227^
4723,ivacaftor,phenobarbital,2,Significant,IVACAFTOR/PHENOBARBITAL [VA Drug Interaction],C56^7229^
4724,ivacaftor,phenytoin,2,Significant,IVACAFTOR/PHENYTOIN [VA Drug Interaction],C56^7230^
4725,ivacaftor,primidone,2,Significant,IVACAFTOR/PRIMIDONE [VA Drug Interaction],C56^7231^
4726,ivacaftor,rifabutin,2,Significant,IVACAFTOR/RIFABUTIN [VA Drug Interaction],C56^7232^
4727,tadalafil,cobicistat,2,Significant,COBICISTAT/TADALAFIL [VA Drug Interaction],C56^7236^
4728,cobicistat,alfentanil,2,Significant,ALFENTANIL/COBICISTAT [VA Drug Interaction],C56^7237^
4729,cobicistat,fentanyl,2,Significant,COBICISTAT/FENTANYL [VA Drug Interaction],C56^7238^
4730,cobicistat,oxycodone,2,Significant,COBICISTAT/OXYCODONE [VA Drug Interaction],C56^7239^
4731,cobicistat,darifenacin,2,Significant,COBICISTAT/DARIFENACIN [VA Drug Interaction],C56^7240^
4732,cobicistat,fesoterodine,2,Significant,COBICISTAT/FESOTERODINE [VA Drug Interaction],C56^7241^
4734,elvitegravir,aluminum carbonate,2,Significant,ALUMINUM CARBONATE/ELVITEGRAVIR [VA Drug Interaction],C56^7251^
4735,cobicistat,clarithromycin,2,Significant,CLARITHROMYCIN/COBICISTAT [VA Drug Interaction],C56^7258^
4736,cobicistat,bosentan,2,Significant,BOSENTAN/COBICISTAT [VA Drug Interaction],C56^7259^
4737,cobicistat,dienestrol,2,Significant,COBICISTAT/DIENESTROL [VA Drug Interaction],C56^7261^
4738,cobicistat,diethylstilbestrol,2,Significant,COBICISTAT/DIETHYLSTILBESTROL [VA Drug Interaction],C56^7262^
4739,cobicistat,estradiol,2,Significant,COBICISTAT/ESTRADIOL [VA Drug Interaction],C56^7263^
4740,cobicistat,estrone,2,Significant,COBICISTAT/ESTRONE [VA Drug Interaction],C56^7265^
4742,cobicistat,etonogestrel,2,Significant,COBICISTAT/ETONOGESTREL [VA Drug Interaction],C56^7268^
4743,cobicistat,levonorgestrel,2,Significant,COBICISTAT/LEVONORGESTREL [VA Drug Interaction],C56^7269^
4744,cobicistat,medroxyprogesterone,2,Significant,COBICISTAT/MEDROXYPROGESTERONE [VA Drug Interaction],C56^7270^
4745,cobicistat,ulipristal acetate,2,Significant,COBICISTAT/ULIPRISTAL ACETATE [VA Drug Interaction],C56^7273^
4746,cobicistat,rifabutin,2,Significant,COBICISTAT/RIFABUTIN [VA Drug Interaction],C56^7274^
4747,cobicistat,rifapentine,2,Significant,COBICISTAT/RIFAPENTINE [VA Drug Interaction],C56^7275^
4748,elvitegravir,rifabutin,2,Significant,ELVITEGRAVIR/RIFABUTIN [VA Drug Interaction],C56^7276^
4749,elvitegravir,rifapentine,2,Significant,ELVITEGRAVIR/RIFAPENTINE [VA Drug Interaction],C56^7277^
4750,elvitegravir,amprenavir,2,Critical,AMPRENAVIR/ELVITEGRAVIR [VA Drug Interaction],C56^7278^
4751,elvitegravir,atazanavir,2,Critical,ATAZANAVIR/ELVITEGRAVIR [VA Drug Interaction],C56^7279^
4752,elvitegravir,boceprevir,2,Critical,BOCEPREVIR/ELVITEGRAVIR [VA Drug Interaction],C56^7280^
4753,elvitegravir,darunavir,2,Critical,DARUNAVIR/ELVITEGRAVIR [VA Drug Interaction],C56^7281^
4754,elvitegravir,etravirine,2,Critical,ELVITEGRAVIR/ETRAVIRINE [VA Drug Interaction],C56^7283^
4755,elvitegravir,fosamprenavir,2,Critical,ELVITEGRAVIR/FOSAMPRENAVIR [VA Drug Interaction],C56^7284^
4756,elvitegravir,nevirapine,2,Critical,ELVITEGRAVIR/NEVIRAPINE [VA Drug Interaction],C56^7287^
4757,elvitegravir,rilpivirine,2,Critical,ELVITEGRAVIR/RILPIVIRINE [VA Drug Interaction],C56^7288^
4758,elvitegravir,ritonavir,2,Critical,ELVITEGRAVIR/RITONAVIR [VA Drug Interaction],C56^7289^
4759,elvitegravir,saquinavir,2,Critical,ELVITEGRAVIR/SAQUINAVIR [VA Drug Interaction],C56^7290^
4760,elvitegravir,telaprevir,2,Critical,ELVITEGRAVIR/TELAPREVIR [VA Drug Interaction],C56^7291^
4761,elvitegravir,tipranavir,2,Critical,ELVITEGRAVIR/TIPRANAVIR [VA Drug Interaction],C56^7292^
4762,cobicistat,amprenavir,2,Critical,AMPRENAVIR/COBICISTAT [VA Drug Interaction],C56^7293^
4763,cobicistat,atazanavir,2,Critical,ATAZANAVIR/COBICISTAT [VA Drug Interaction],C56^7294^
4764,cobicistat,boceprevir,2,Critical,BOCEPREVIR/COBICISTAT [VA Drug Interaction],C56^7295^
4765,cobicistat,darunavir,2,Critical,COBICISTAT/DARUNAVIR [VA Drug Interaction],C56^7296^
4766,cobicistat,efavirenz,2,Critical,COBICISTAT/EFAVIRENZ [VA Drug Interaction],C56^7298^
4767,cobicistat,etravirine,2,Critical,COBICISTAT/ETRAVIRINE [VA Drug Interaction],C56^7299^
4768,cobicistat,fosamprenavir,2,Critical,COBICISTAT/FOSAMPRENAVIR [VA Drug Interaction],C56^7300^
4769,cobicistat,nevirapine,2,Critical,COBICISTAT/NEVIRAPINE [VA Drug Interaction],C56^7303^
4770,cobicistat,rilpivirine,2,Critical,COBICISTAT/RILPIVIRINE [VA Drug Interaction],C56^7304^
4771,cobicistat,ritonavir,2,Critical,COBICISTAT/RITONAVIR [VA Drug Interaction],C56^7305^
4772,cobicistat,saquinavir,2,Critical,COBICISTAT/SAQUINAVIR [VA Drug Interaction],C56^7306^
4773,cobicistat,telaprevir,2,Critical,COBICISTAT/TELAPREVIR [VA Drug Interaction],C56^7307^
4774,cobicistat,tipranavir,2,Critical,COBICISTAT/TIPRANAVIR [VA Drug Interaction],C56^7308^
4775,linagliptin,carbamazepine,2,Significant,CARBAMAZEPINE/LINAGLIPTIN [VA Drug Interaction],C56^7309^
4776,linagliptin,phenytoin,2,Significant,LINAGLIPTIN/PHENYTOIN [VA Drug Interaction],C56^7311^
4777,linagliptin,tipranavir,2,Significant,LINAGLIPTIN/TIPRANAVIR [VA Drug Interaction],C56^7313^
4778,atovaquone,tetracycline,2,Significant,ATOVAQUONE/TETRACYCLINE [VA Drug Interaction],C56^7314^
4779,atovaquone,metoclopramide,2,Significant,ATOVAQUONE/METOCLOPRAMIDE [VA Drug Interaction],C56^7315^
4780,deferasirox,tizanidine,2,Significant,DEFERASIROX/TIZANIDINE [VA Drug Interaction],C56^7317^
4781,mifepristone,alfentanil,2,Critical,ALFENTANIL/MIFEPRISTONE [VA Drug Interaction],C56^7321^
4782,mifepristone,fentanyl,2,Critical,FENTANYL/MIFEPRISTONE [VA Drug Interaction],C56^7324^
4783,mifepristone,lovastatin,2,Critical,LOVASTATIN/MIFEPRISTONE [VA Drug Interaction],C56^7325^
4784,mifepristone,midazolam,2,Critical,MIDAZOLAM/MIFEPRISTONE [VA Drug Interaction],C56^7326^
4785,mifepristone,pimozide,2,Critical,MIFEPRISTONE/PIMOZIDE [VA Drug Interaction],C56^7327^
4786,mifepristone,quinidine,2,Critical,MIFEPRISTONE/QUINIDINE [VA Drug Interaction],C56^7328^
4787,mifepristone,simvastatin,2,Critical,MIFEPRISTONE/SIMVASTATIN [VA Drug Interaction],C56^7330^
4788,mifepristone,sirolimus,2,Critical,MIFEPRISTONE/SIROLIMUS [VA Drug Interaction],C56^7331^
4789,mifepristone,sitagliptin,2,Critical,MIFEPRISTONE/SITAGLIPTIN [VA Drug Interaction],C56^7332^
4790,mifepristone,triazolam,2,Critical,MIFEPRISTONE/TRIAZOLAM [VA Drug Interaction],C56^7333^
4791,diltiazem,ketoconazole,2,Significant,DILTIAZEM/KETOCONAZOLE [VA Drug Interaction],C56^7334^
4792,ketoconazole,nifedipine,2,Significant,KETOCONAZOLE/NIFEDIPINE [VA Drug Interaction],C56^7335^
4793,mirabegron,flecainide,2,Significant,FLECAINIDE/MIRABEGRON [VA Drug Interaction],C56^7336^
4794,mirabegron,thioridazine,2,Significant,MIRABEGRON/THIORIDAZINE [VA Drug Interaction],C56^7337^
4795,mirabegron,propafenone,2,Significant,MIRABEGRON/PROPAFENONE [VA Drug Interaction],C56^7338^
4796,cobicistat,alfuzosin,2,Critical,ALFUZOSIN/COBICISTAT [VA Drug Interaction],C56^7339^
4797,cobicistat,silodosin,2,Critical,COBICISTAT/SILODOSIN [VA Drug Interaction],C56^7340^
4798,furazolidone,almotriptan,2,Critical,ALMOTRIPTAN/FURAZOLIDONE [VA Drug Interaction],C56^7347^
4799,furazolidone,frovatriptan,2,Critical,FROVATRIPTAN/FURAZOLIDONE [VA Drug Interaction],C56^7348^
4800,furazolidone,eletriptan,2,Critical,ELETRIPTAN/FURAZOLIDONE [VA Drug Interaction],C56^7350^
4801,isocarboxazid,almotriptan,2,Critical,ALMOTRIPTAN/ISOCARBOXAZID [VA Drug Interaction],C56^7351^
4802,isocarboxazid,eletriptan,2,Critical,ELETRIPTAN/ISOCARBOXAZID [VA Drug Interaction],C56^7352^
4803,isocarboxazid,frovatriptan,2,Critical,FROVATRIPTAN/ISOCARBOXAZID [VA Drug Interaction],C56^7354^
4804,pargyline,frovatriptan,2,Critical,FROVATRIPTAN/PARGYLINE [VA Drug Interaction],C56^7356^
4805,pargyline,almotriptan,2,Critical,ALMOTRIPTAN/PARGYLINE [VA Drug Interaction],C56^7357^
4806,pargyline,eletriptan,2,Critical,ELETRIPTAN/PARGYLINE [VA Drug Interaction],C56^7359^
4807,phenelzine,almotriptan,2,Critical,ALMOTRIPTAN/PHENELZINE [VA Drug Interaction],C56^7360^
4808,phenelzine,frovatriptan,2,Critical,FROVATRIPTAN/PHENELZINE [VA Drug Interaction],C56^7361^
4809,phenelzine,eletriptan,2,Critical,ELETRIPTAN/PHENELZINE [VA Drug Interaction],C56^7362^
4810,procarbazine,almotriptan,2,Critical,ALMOTRIPTAN/PROCARBAZINE [VA Drug Interaction],C56^7363^
4811,procarbazine,eletriptan,2,Critical,ELETRIPTAN/PROCARBAZINE [VA Drug Interaction],C56^7365^
4812,procarbazine,frovatriptan,2,Critical,FROVATRIPTAN/PROCARBAZINE [VA Drug Interaction],C56^7366^
4813,tranylcypromine,almotriptan,2,Critical,ALMOTRIPTAN/TRANYLCYPROMINE [VA Drug Interaction],C56^7367^
4814,tranylcypromine,eletriptan,2,Critical,ELETRIPTAN/TRANYLCYPROMINE [VA Drug Interaction],C56^7368^
4815,tranylcypromine,frovatriptan,2,Critical,FROVATRIPTAN/TRANYLCYPROMINE [VA Drug Interaction],C56^7369^
4816,everolimus,amobarbital,2,Significant,AMOBARBITAL/EVEROLIMUS [VA Drug Interaction],C56^7382^
4817,everolimus,aprobarbital,2,Significant,APROBARBITAL/EVEROLIMUS [VA Drug Interaction],C56^7383^
4818,everolimus,barbital,2,Significant,BARBITAL/EVEROLIMUS [VA Drug Interaction],C56^7384^
4819,butalbital,everolimus,2,Significant,BUTALBITAL/EVEROLIMUS [VA Drug Interaction],C56^7386^
4820,everolimus,ethotoin,2,Significant,ETHOTOIN/EVEROLIMUS [VA Drug Interaction],C56^7387^
4821,everolimus,hexobarbital,2,Significant,EVEROLIMUS/HEXOBARBITAL [VA Drug Interaction],C56^7388^
4822,everolimus,mephenytoin,2,Significant,EVEROLIMUS/MEPHENYTOIN [VA Drug Interaction],C56^7389^
4823,everolimus,metharbital,2,Significant,EVEROLIMUS/METHARBITAL [VA Drug Interaction],C56^7391^
4824,everolimus,pentobarbital,2,Significant,EVEROLIMUS/PENTOBARBITAL [VA Drug Interaction],C56^7392^
4825,everolimus,secobarbital,2,Significant,EVEROLIMUS/SECOBARBITAL [VA Drug Interaction],C56^7393^
4826,everolimus,talbutal,2,Significant,EVEROLIMUS/TALBUTAL [VA Drug Interaction],C56^7394^
4827,sirolimus,amobarbital,2,Significant,AMOBARBITAL/SIROLIMUS [VA Drug Interaction],C56^7395^
4828,sirolimus,aprobarbital,2,Significant,APROBARBITAL/SIROLIMUS [VA Drug Interaction],C56^7396^
4829,sirolimus,barbital,2,Significant,BARBITAL/SIROLIMUS [VA Drug Interaction],C56^7397^
4830,sirolimus,butalbital,2,Significant,BUTALBITAL/SIROLIMUS [VA Drug Interaction],C56^7399^
4831,sirolimus,ethotoin,2,Significant,ETHOTOIN/SIROLIMUS [VA Drug Interaction],C56^7400^
4832,sirolimus,hexobarbital,2,Significant,HEXOBARBITAL/SIROLIMUS [VA Drug Interaction],C56^7402^
4833,sirolimus,mephenytoin,2,Significant,MEPHENYTOIN/SIROLIMUS [VA Drug Interaction],C56^7403^
4834,sirolimus,metharbital,2,Significant,METHARBITAL/SIROLIMUS [VA Drug Interaction],C56^7405^
4835,sirolimus,pentobarbital,2,Significant,PENTOBARBITAL/SIROLIMUS [VA Drug Interaction],C56^7406^
4836,sirolimus,primidone,2,Significant,PRIMIDONE/SIROLIMUS [VA Drug Interaction],C56^7407^
4837,sirolimus,rifapentine,2,Significant,RIFAPENTINE/SIROLIMUS [VA Drug Interaction],C56^7408^
4838,sirolimus,secobarbital,2,Significant,SECOBARBITAL/SIROLIMUS [VA Drug Interaction],C56^7409^
4839,sirolimus,talbutal,2,Significant,SIROLIMUS/TALBUTAL [VA Drug Interaction],C56^7410^
4840,tacrolimus,amobarbital,2,Significant,AMOBARBITAL/TACROLIMUS [VA Drug Interaction],C56^7411^
4841,tacrolimus,aprobarbital,2,Significant,APROBARBITAL/TACROLIMUS [VA Drug Interaction],C56^7412^
4842,tacrolimus,barbital,2,Significant,BARBITAL/TACROLIMUS [VA Drug Interaction],C56^7413^
4843,tacrolimus,butalbital,2,Significant,BUTALBITAL/TACROLIMUS [VA Drug Interaction],C56^7415^
4844,tacrolimus,ethotoin,2,Significant,ETHOTOIN/TACROLIMUS [VA Drug Interaction],C56^7416^
4845,tacrolimus,hexobarbital,2,Significant,HEXOBARBITAL/TACROLIMUS [VA Drug Interaction],C56^7418^
4846,tacrolimus,mephenytoin,2,Significant,MEPHENYTOIN/TACROLIMUS [VA Drug Interaction],C56^7419^
4847,tacrolimus,metharbital,2,Significant,METHARBITAL/TACROLIMUS [VA Drug Interaction],C56^7421^
4848,tacrolimus,pentobarbital,2,Significant,PENTOBARBITAL/TACROLIMUS [VA Drug Interaction],C56^7422^
4849,tacrolimus,primidone,2,Significant,PRIMIDONE/TACROLIMUS [VA Drug Interaction],C56^7423^
4850,tacrolimus,rifabutin,2,Significant,RIFABUTIN/TACROLIMUS [VA Drug Interaction],C56^7424^
4851,tacrolimus,rifapentine,2,Significant,RIFAPENTINE/TACROLIMUS [VA Drug Interaction],C56^7425^
4852,tacrolimus,secobarbital,2,Significant,SECOBARBITAL/TACROLIMUS [VA Drug Interaction],C56^7426^
4853,tacrolimus,talbutal,2,Significant,TACROLIMUS/TALBUTAL [VA Drug Interaction],C56^7427^
4854,temsirolimus,amobarbital,2,Significant,AMOBARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7428^
4855,temsirolimus,aprobarbital,2,Significant,APROBARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7429^
4856,temsirolimus,barbital,2,Significant,BARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7430^
4857,temsirolimus,butalbital,2,Significant,BUTALBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7432^
4858,temsirolimus,ethotoin,2,Significant,ETHOTOIN/TEMSIROLIMUS [VA Drug Interaction],C56^7433^
4859,temsirolimus,hexobarbital,2,Significant,HEXOBARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7435^
4860,temsirolimus,mephenytoin,2,Significant,MEPHENYTOIN/TEMSIROLIMUS [VA Drug Interaction],C56^7436^
4861,temsirolimus,metharbital,2,Significant,METHARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7438^
4862,temsirolimus,pentobarbital,2,Significant,PENTOBARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7439^
4863,temsirolimus,primidone,2,Significant,PRIMIDONE/TEMSIROLIMUS [VA Drug Interaction],C56^7440^
4864,temsirolimus,rifapentine,2,Significant,RIFAPENTINE/TEMSIROLIMUS [VA Drug Interaction],C56^7441^
4865,temsirolimus,secobarbital,2,Significant,SECOBARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7442^
4866,temsirolimus,talbutal,2,Significant,TALBUTAL/TEMSIROLIMUS [VA Drug Interaction],C56^7443^
4867,tofacitinib,boceprevir,2,Significant,BOCEPREVIR/TOFACITINIB [VA Drug Interaction],C56^7444^
4868,tofacitinib,clarithromycin,2,Significant,CLARITHROMYCIN/TOFACITINIB [VA Drug Interaction],C56^7445^
4869,tofacitinib,conivaptan,2,Significant,CONIVAPTAN/TOFACITINIB [VA Drug Interaction],C56^7446^
4870,tofacitinib,itraconazole,2,Significant,ITRACONAZOLE/TOFACITINIB [VA Drug Interaction],C56^7448^
4871,tofacitinib,ketoconazole,2,Significant,KETOCONAZOLE/TOFACITINIB [VA Drug Interaction],C56^7449^
4872,tofacitinib,nefazodone,2,Significant,NEFAZODONE/TOFACITINIB [VA Drug Interaction],C56^7451^
4873,tofacitinib,ritonavir,2,Significant,RITONAVIR/TOFACITINIB [VA Drug Interaction],C56^7453^
4874,tofacitinib,saquinavir,2,Significant,SAQUINAVIR/TOFACITINIB [VA Drug Interaction],C56^7454^
4875,tofacitinib,telaprevir,2,Significant,TELAPREVIR/TOFACITINIB [VA Drug Interaction],C56^7455^
4876,tofacitinib,telithromycin,2,Significant,TELITHROMYCIN/TOFACITINIB [VA Drug Interaction],C56^7456^
4877,tofacitinib,voriconazole,2,Significant,TOFACITINIB/VORICONAZOLE [VA Drug Interaction],C56^7457^
4878,tofacitinib,cobicistat,2,Significant,COBICISTAT/TOFACITINIB [VA Drug Interaction],C56^7458^
4879,tofacitinib,azathioprine,2,Critical,AZATHIOPRINE/TOFACITINIB [VA Drug Interaction],C56^7462^
4880,tofacitinib,fluconazole,2,Significant,FLUCONAZOLE/TOFACITINIB [VA Drug Interaction],C56^7470^
4881,procarbazine,furazolidone,2,Critical,FURAZOLIDONE/PROCARBAZINE [VA Drug Interaction],C56^7473^
4882,procarbazine,isocarboxazid,2,Critical,ISOCARBOXAZID/PROCARBAZINE [VA Drug Interaction],C56^7474^
4883,procarbazine,pargyline,2,Critical,PARGYLINE/PROCARBAZINE [VA Drug Interaction],C56^7475^
4884,procarbazine,phenelzine,2,Critical,PHENELZINE/PROCARBAZINE [VA Drug Interaction],C56^7476^
4885,procarbazine,rasagiline,2,Critical,PROCARBAZINE/RASAGILINE [VA Drug Interaction],C56^7477^
4886,procarbazine,selegiline,2,Critical,PROCARBAZINE/SELEGILINE [VA Drug Interaction],C56^7478^
4887,procarbazine,tranylcypromine,2,Critical,PROCARBAZINE/TRANYLCYPROMINE [VA Drug Interaction],C56^7479^
4888,sodium oxybate,alprazolam,2,Critical,ALPRAZOLAM/SODIUM OXYBATE [VA Drug Interaction],C56^7489^
4889,sodium oxybate,amobarbital,2,Critical,AMOBARBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7490^
4890,sodium oxybate,aprobarbital,2,Critical,APROBARBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7491^
4891,sodium oxybate,barbital,2,Critical,BARBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7492^
4892,sodium oxybate,butalbital,2,Critical,BUTALBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7493^
4893,sodium oxybate,chloral hydrate,2,Critical,CHLORAL HYDRATE/SODIUM OXYBATE [VA Drug Interaction],C56^7494^
4894,sodium oxybate,clobazam,2,Critical,CLOBAZAM/SODIUM OXYBATE [VA Drug Interaction],C56^7495^
4895,sodium oxybate,clonazepam,2,Critical,CLONAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56^7496^
4896,sodium oxybate,clorazepate,2,Critical,CLORAZEPATE/SODIUM OXYBATE [VA Drug Interaction],C56^7497^
4897,sodium oxybate,diazepam,2,Critical,DIAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56^7498^
4898,sodium oxybate,doxepin,2,Critical,DOXEPIN/SODIUM OXYBATE [VA Drug Interaction],C56^7500^
4899,sodium oxybate,eszopiclone,2,Critical,ESZOPICLONE/SODIUM OXYBATE [VA Drug Interaction],C56^7501^
4900,sodium oxybate,ethchlorvynol,2,Critical,ETHCHLORVYNOL/SODIUM OXYBATE [VA Drug Interaction],C56^7502^
4901,sodium oxybate,flurazepam,2,Critical,FLURAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56^7504^
4902,sodium oxybate,glutethimide,2,Critical,GLUTETHIMIDE/SODIUM OXYBATE [VA Drug Interaction],C56^7505^
4903,sodium oxybate,halazepam,2,Critical,HALAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56^7506^
4904,sodium oxybate,hexobarbital,2,Critical,HEXOBARBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7507^
4905,sodium oxybate,lorazepam,2,Critical,LORAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56^7508^
4906,sodium oxybate,meprobamate,2,Critical,MEPROBAMATE/SODIUM OXYBATE [VA Drug Interaction],C56^7510^
4907,sodium oxybate,methaqualone,2,Critical,METHAQUALONE/SODIUM OXYBATE [VA Drug Interaction],C56^7511^
4908,sodium oxybate,metharbital,2,Critical,METHARBITAL/SODIUM OXYBATE [VA Drug Interaction],C56^7512^
4909,sodium oxybate,methyprylon,2,Critical,METHYPRYLON/SODIUM OXYBATE [VA Drug Interaction],C56^7513^
4910,sodium oxybate,midazolam,2,Critical,MIDAZOLAM/SODIUM OXYBATE [VA Drug Interaction],C56^7514^
4911,sodium oxybate,paraldehyde,2,Critical,PARALDEHYDE/SODIUM OXYBATE [VA Drug Interaction],C56^7515^
